i,timesec,power_total,downconfreq,dopp_firstmoment,exp_dopp
39,21758.0,36.139881827014456,8410640000.0,-41782.71951480838,-333784.7195148468
39,21758.25,38.55525044905026,8410640000.0,-41778.815593579835,-333780.8155937195
39,21758.5,41.60261363820025,8410640000.0,-41774.81103425547,-333776.8110342026
39,21758.75,41.85430720183048,8410640000.0,-41770.69531864501,-333772.69531822205
40,21759.0,40.783604899155364,8410640000.0,-41766.71850261924,-333768.71850299835
40,21759.25,41.54020121912349,8410640000.0,-41762.50903529348,-333764.5090351105
40,21759.5,40.107300179243445,8410640000.0,-41758.529632327605,-333760.52963256836
40,21759.75,41.34364841441446,8410640000.0,-41754.27568853,-333756.2756881714
41,21760.0,43.97046510819803,8410640000.0,-41750.089037964484,-333752.0890378952
41,21760.25,44.14556885500845,8410640000.0,-41746.10201164405,-333748.1020116806
41,21760.5,45.7954518568492,8410640000.0,-41742.02164833893,-333744.021648407
41,21760.75,45.139794278099124,8410640000.0,-41737.865917442774,-333739.8659172058
42,21761.0,45.86423601542731,8410640000.0,-41733.97798836035,-333735.9779882431
42,21761.25,47.27407782546702,8410640000.0,-41729.73403568948,-333731.73403549194
42,21761.5,43.964460980315586,8410640000.0,-41725.79623922651,-333727.79623889923
42,21761.75,46.22025530538821,8410640000.0,-41721.701781966956,-333723.70178222656
43,21762.0,45.92810241438497,8410640000.0,-41717.39127448758,-333719.3912744522
43,21762.25,45.12241853470286,8410640000.0,-41713.50024687166,-333715.50024700165
43,21762.5,46.33346374001102,8410640000.0,-41709.138814700826,-333711.13881492615
43,21762.75,44.807516050336744,8410640000.0,-41705.26377715119,-333707.2637767792
44,21763.0,44.78957611061704,8410640000.0,-41701.06109790043,-333703.06109809875
44,21763.25,46.35653893578943,8410640000.0,-41697.046600821086,-333699.0466012955
44,21763.5,45.40923559986786,8410640000.0,-41693.061926117385,-333695.06192588806
44,21763.75,45.75561710685255,8410640000.0,-41688.86946696604,-333690.8694667816
45,21764.0,46.3102654188001,8410640000.0,-41684.667891488454,-333686.6678915024
45,21764.25,45.6870825231183,8410640000.0,-41680.592397238346,-333682.5923976898
45,21764.5,47.343247284363756,8410640000.0,-41676.55394585675,-333678.5539455414
