i,timesec,power_total,downconfreq,dopp_firstmoment,exp_dopp, second_moment,RTEC
31,21750.25,40.177903289446796,8410640000.0,-41909.56144300739,-333911.56144332886,4.858297780179992,2.81500028812415e+30
31,21750.5,35.96229215062388,8410640000.0,-41905.48649754279,-333907.486497879,5.108188111427581,2.9351529457283175e+30
31,21750.75,35.66319714586837,8410640000.0,-41901.5179511274,-333903.51795101166,4.740502179836459,2.758006552851198e+30
32,21751.0,34.54040519016325,8410640000.0,-41897.43809899235,-333899.43809890747,4.954282814942845,2.861271025642608e+30
32,21751.25,33.70399984532792,8410640000.0,-41893.19612124921,-333895.1961212158,6.308898327311785,3.499743980659769e+30
32,21751.5,34.75833953827381,8410640000.0,-41889.14927329817,-333891.1492729187,3.9155099095771857,2.3517903700671576e+30
32,21751.75,37.39355909350918,8410640000.0,-41885.126278646436,-333887.12627887726,4.011317011205844,2.399647716776235e+30
33,21752.0,37.280015695336985,8410640000.0,-41881.017882960354,-333883.0178833008,3.8885417206596897,2.338284247632428e+30
33,21752.25,39.52743726984755,8410640000.0,-41876.91889595373,-333878.91889572144,4.091699370542721,2.4396532229314516e+30
33,21752.5,38.688299387037524,8410640000.0,-41872.858779260125,-333874.85877895355,3.8807201667798683,2.334364165344716e+30
33,21752.75,39.21729901450088,8410640000.0,-41868.81628532739,-333870.81628513336,3.8817297801514106,2.334870247137842e+30
34,21753.0,39.53310009299762,8410640000.0,-41864.707090932396,-333866.7070913315,4.651315764261956,2.7146979882805145e+30
34,21753.25,36.929684036856166,8410640000.0,-41860.67664673297,-333862.6766471863,4.543379188907971,2.6620987112828774e+30
34,21753.5,38.55717373374776,8410640000.0,-41856.57262599223,-333858.5726261139,5.191845403271771,2.975156358648855e+30
34,21753.75,30.916578213814205,8410640000.0,-41852.59381249678,-333854.5938129425,4.181081932349864,2.4839846050743496e+30
35,21754.0,25.385558490024998,8410640000.0,-41848.41262344698,-333850.41262340546,5.486298435313833,3.1151181618521753e+30
35,21754.25,16.35073628066066,8410640000.0,-41844.5408308895,-333846.5408306122,5.223973907839752,2.9904910072142704e+30
35,21754.5,15.41625812004918,8410640000.0,-41840.37955648402,-333842.3795566559,4.359723212904203,2.5721172764040766e+30
35,21754.75,12.84239201818756,8410640000.0,-41836.085636808726,-333838.0856370926,4.800896126748274,2.787256430955279e+30
36,21755.0,13.77894142678371,8410640000.0,-41832.12919263531,-333834.1291923523,4.476198028748408,2.6292552183707355e+30
36,21755.25,18.05391038818324,8410640000.0,-41828.11850924545,-333830.1185092926,5.132106874957186,2.946601539497128e+30
36,21755.5,18.318495700185906,8410640000.0,-41823.77744175648,-333825.77744197845,5.296206874765305,3.0249099614926803e+30
36,21755.75,24.2238757069754,8410640000.0,-41819.84846733242,-333821.84846687317,3.668985935730146,2.2277342094812372e+30
37,21756.0,30.32864346154776,8410640000.0,-41815.63654628457,-333817.63654613495,4.502269564954121,2.642010746903869e+30
37,21756.25,38.28395418172159,8410640000.0,-41811.70226343196,-333813.7022638321,4.088946241934421,2.4382851980624036e+30
37,21756.5,45.265843577073,8410640000.0,-41807.60093704502,-333809.60093688965,4.487098007594728,2.6345895474880153e+30
37,21756.75,43.16524240269879,8410640000.0,-41803.617555822064,-333805.6175556183,5.2002349451664465,2.9791621340478263e+30
38,21757.0,41.210194059160344,8410640000.0,-41799.48920674562,-333801.4892063141,5.5499235047021465,3.1451944396317425e+30
38,21757.25,35.7318059272486,8410640000.0,-41795.35623108583,-333797.3562307358,5.273572413225954,3.014133124013197e+30
38,21757.5,33.36576196828798,8410640000.0,-41791.02738540526,-333793.02738571167,5.136123706538967,2.9485233022766813e+30
38,21757.75,36.27851078226608,8410640000.0,-41787.3118460109,-333789.3118457794,4.8066824693536905,2.7900556308504797e+30
39,21758.0,36.139881827014456,8410640000.0,-41782.71951480838,-333784.7195148468,4.56016901869897,2.6702942337778994e+30
