YYYY DOY HR MN      V
2021 277 12 45 99999.9
2021 277 12 50 99999.9
2021 277 12 55 99999.9
2021 277 13  0 99999.9
2021 277 13  5 99999.9
2021 277 13 10 99999.9
2021 277 13 15   354.4
2021 277 13 20   352.9
2021 277 13 25   353.6
2021 277 13 30   354.6
2021 277 13 35   352.0
2021 277 13 40   352.0
2021 277 13 45   352.8
2021 277 13 50   350.2
2021 277 13 55   351.5
2021 277 14  0   351.5
2021 277 14  5   350.6
2021 277 14 10   348.4
2021 277 14 15   348.8
2021 277 14 20   349.7
2021 277 14 25   350.8
2021 277 14 30   348.0
2021 277 14 35   347.3
2021 277 14 40   345.4
2021 277 14 45   343.0
2021 277 14 50   345.1
2021 277 14 55   343.8
2021 277 15  0   342.8
2021 277 15  5   342.4
2021 277 15 10 99999.9
2021 277 15 15   338.5
2021 277 15 20   338.8
2021 277 15 25   343.3
2021 277 15 30   341.4
2021 277 15 35   339.5
2021 277 15 40   340.4
2021 277 15 45   341.4
2021 277 15 50   341.2
2021 277 15 55   341.3
2021 277 16  0   339.9
2021 277 16  5   332.4
2021 277 16 10   334.5
2021 277 16 15   333.8
2021 277 16 20 99999.9
2021 277 16 25   332.9
2021 277 16 30   332.2
2021 277 16 35   331.7
2021 277 16 40   332.8
2021 277 16 45   332.4
2021 277 16 50   334.1
2021 277 16 55   334.1
2021 277 17  0   333.2
2021 277 17  5   333.3
2021 277 17 10   334.9
2021 277 17 15   336.1
2021 277 17 20   332.3
2021 277 17 25   334.8
2021 277 17 30   336.7
2021 277 17 35   335.8
2021 277 17 40 99999.9
2021 277 17 45 99999.9
2021 277 17 50 99999.9
2021 277 17 55   337.0
2021 277 18  0 99999.9
2021 277 18  5 99999.9
2021 277 18 10   340.3
2021 277 18 15 99999.9
2021 277 18 20   339.3
2021 277 18 25 99999.9
2021 277 18 30   337.4
2021 277 18 35   336.7
2021 277 18 40   332.4
2021 277 18 45   335.9
2021 277 18 50   336.1
2021 277 18 55   334.1
2021 277 19  0   330.8
2021 277 19  5   331.1
2021 277 19 10   331.9
2021 277 19 15   330.4
2021 277 19 20 99999.9
2021 277 19 25 99999.9
2021 277 19 30   330.6
2021 277 19 35   330.4
2021 277 19 40   330.2
2021 277 19 45   330.2
2021 277 19 50   330.3
2021 277 19 55   330.6
2021 277 20  0   329.9
2021 277 20  5   329.4
2021 277 20 10   327.2
2021 277 20 15   326.5
2021 277 20 20   328.4
2021 277 20 25   328.2
2021 277 20 30 99999.9
2021 277 20 35   325.9
2021 277 20 40   323.8
2021 277 20 45   322.9
