year	day	hr	v
2021	286	9	4.1937e+02
2021	286	9	4.1761e+02
2021	286	9	4.1767e+02
2021	286	9	4.1900e+02
2021	286	9	4.1763e+02
2021	286	10	4.1579e+02
2021	286	10	4.1578e+02
2021	286	10	4.1420e+02
2021	286	10	4.1200e+02
2021	286	10	4.0883e+02
2021	286	11	4.0752e+02
2021	286	11	4.0920e+02
2021	286	11	4.1023e+02
2021	286	11	4.1007e+02
2021	286	11	4.0731e+02
2021	286	12	4.0829e+02
2021	286	12	4.0487e+02
2021	286	12	4.0323e+02
2021	286	12	4.0962e+02
2021	286	12	4.0969e+02
2021	286	13	4.0762e+02
2021	286	13	3.9595e+02
2021	286	13	4.0876e+02
2021	286	13	4.0853e+02
2021	286	13	4.0454e+02
2021	286	14	3.9601e+02
2021	286	14	3.9798e+02
2021	286	14	4.0117e+02
2021	286	14	4.0028e+02
2021	286	14	4.0020e+02
2021	286	15	3.9848e+02
2021	286	15	3.9514e+02
2021	286	15	3.9616e+02
2021	286	15	3.9704e+02
2021	286	15	3.9167e+02
2021	286	16	3.9566e+02
2021	286	16	3.9495e+02
2021	286	16	4.0262e+02
2021	286	16	4.0414e+02
2021	286	16	3.9821e+02
2021	286	17	3.9744e+02
2021	286	17	3.9478e+02
2021	286	17	3.9478e+02
2021	286	17	3.9531e+02
2021	286	17	3.9451e+02
2021	286	18	3.9597e+02
2021	286	18	3.9673e+02
2021	286	18	3.9907e+02
2021	286	18	3.9848e+02
2021	286	18	3.9667e+02
2021	286	19	3.9363e+02
2021	286	19	3.9244e+02
2021	286	19	3.9368e+02
2021	286	19	3.9180e+02
2021	286	19	3.9066e+02
2021	286	20	3.9092e+02
2021	286	20	3.8867e+02
2021	286	20	3.9049e+02
2021	286	20	3.9045e+02
2021	286	20	3.9272e+02
2021	286	21	3.9251e+02
2021	286	21	3.8896e+02
2021	286	21	3.9227e+02
2021	286	21	3.9083e+02
2021	286	21	3.8551e+02
2021	286	22	3.8255e+02
2021	286	22	3.8272e+02
2021	286	22	3.8176e+02
2021	286	22	3.7558e+02
2021	286	22	3.7628e+02
2021	286	23	3.7371e+02
2021	286	23	3.8083e+02
2021	286	23	4.0084e+02
2021	286	23	3.9507e+02
2021	286	23	3.8796e+02
2021	287	0	3.8878e+02
2021	287	0	3.8698e+02
2021	287	0	3.8540e+02
2021	287	0	3.8669e+02
2021	287	1	3.8917e+02
2021	287	1	3.8699e+02
2021	287	1	3.8057e+02
2021	287	1	3.8163e+02
2021	287	1	3.8572e+02
2021	287	2	3.8561e+02
2021	287	2	3.8648e+02
2021	287	2	3.9088e+02
2021	287	2	3.9261e+02
2021	287	2	3.9240e+02
2021	287	3	3.8401e+02
2021	287	3	3.8559e+02
2021	287	3	3.8826e+02
2021	287	3	3.8378e+02
2021	287	3	3.8704e+02
2021	287	4	3.8722e+02
2021	287	4	3.9112e+02
2021	287	4	3.8728e+02
2021	287	4	3.8620e+02
2021	287	4	3.8768e+02
2021	287	5	3.9210e+02
2021	287	5	3.9194e+02
2021	287	5	3.9174e+02
2021	287	5	3.9121e+02
2021	287	5	3.9233e+02
2021	287	6	3.8468e+02
2021	287	6	3.8349e+02
2021	287	6	3.9045e+02
2021	287	6	3.8868e+02
2021	287	6	3.8566e+02
2021	287	7	3.8614e+02
2021	287	7	3.8511e+02
2021	287	7	3.8351e+02
2021	287	7	3.8201e+02
2021	287	7	3.8824e+02
2021	287	8	3.8484e+02
2021	287	8	3.8193e+02
2021	287	8	3.8419e+02
2021	287	8	3.8454e+02
2021	287	8	3.8082e+02
2021	287	9	3.7402e+02
2021	287	9	3.7566e+02
2021	287	9	3.7468e+02
2021	287	9	3.7061e+02
2021	287	9	3.6584e+02
2021	287	10	3.6605e+02
2021	287	10	3.6811e+02
2021	287	10	3.7211e+02
2021	287	10	3.7298e+02
2021	287	10	3.7338e+02
2021	287	11	3.7141e+02
2021	287	11	3.7627e+02
2021	287	11	3.7160e+02
2021	287	11	3.7477e+02
2021	287	11	3.6844e+02
2021	287	12	3.6371e+02
2021	287	12	3.5416e+02
2021	287	12	3.6435e+02
2021	287	12	3.6612e+02
2021	287	12	3.6868e+02
2021	287	13	3.6762e+02
2021	287	13	3.7189e+02
2021	287	13	3.6455e+02
2021	287	13	3.6706e+02
2021	287	13	3.6513e+02
2021	287	14	3.6666e+02
2021	287	14	3.6349e+02
2021	287	14	3.6726e+02
2021	287	14	3.6816e+02
2021	287	14	3.6466e+02
2021	287	15	3.6906e+02
2021	287	15	3.6973e+02
2021	287	15	3.7386e+02
2021	287	15	3.6917e+02
2021	287	15	3.7077e+02
2021	287	16	3.6541e+02
2021	287	16	3.6538e+02
2021	287	16	3.6421e+02
2021	287	16	3.6664e+02
2021	287	16	3.6755e+02
2021	287	17	3.6725e+02
2021	287	17	3.7198e+02
2021	287	17	3.6418e+02
2021	287	17	3.6742e+02
2021	287	18	3.7389e+02
2021	287	18	3.7094e+02
2021	287	18	3.7297e+02
2021	287	18	3.7112e+02
2021	287	18	3.7119e+02
2021	287	19	3.6975e+02
2021	287	19	3.7318e+02
2021	287	19	3.7277e+02
2021	287	19	3.7228e+02
2021	287	19	3.7300e+02
2021	287	20	3.7349e+02
2021	287	20	3.7249e+02
2021	287	20	3.7254e+02
2021	287	20	3.7218e+02
2021	287	20	3.7577e+02
2021	287	21	3.7515e+02
2021	287	21	3.7638e+02
2021	287	21	3.7729e+02
2021	287	21	3.7880e+02
2021	287	21	3.7818e+02
2021	287	22	3.7693e+02
2021	287	22	3.7604e+02
2021	287	22	3.7462e+02
2021	287	22	3.7236e+02
2021	287	22	3.7160e+02
2021	287	23	3.6224e+02
2021	287	23	3.5999e+02
2021	287	23	3.6618e+02
2021	287	23	3.6455e+02
2021	287	23	3.5803e+02
2021	288	0	3.6795e+02
2021	288	0	3.7411e+02
2021	288	0	3.7029e+02
2021	288	0	3.6618e+02
2021	288	0	3.6533e+02
2021	288	1	3.7049e+02
2021	288	1	3.7294e+02
2021	288	1	3.7194e+02
2021	288	1	3.7361e+02
2021	288	1	3.7210e+02
2021	288	2	3.7350e+02
2021	288	2	3.7491e+02
2021	288	2	3.7172e+02
2021	288	2	3.7668e+02
2021	288	2	3.7763e+02
2021	288	3	3.7140e+02
2021	288	3	3.8095e+02
2021	288	3	3.7477e+02
2021	288	3	3.7858e+02
2021	288	3	3.7887e+02
2021	288	4	3.7656e+02
2021	288	4	3.7534e+02
2021	288	4	3.7621e+02
2021	288	4	3.7578e+02
2021	288	4	3.7481e+02
2021	288	5	3.7257e+02
2021	288	5	3.7211e+02
2021	288	5	3.6923e+02
2021	288	5	3.6650e+02
2021	288	5	3.7909e+02
2021	288	6	3.8183e+02
2021	288	6	3.7945e+02
2021	288	6	3.7572e+02
2021	288	6	3.7918e+02
2021	288	6	3.8119e+02
2021	288	7	3.7788e+02
2021	288	7	3.7515e+02
2021	288	7	3.7787e+02
2021	288	7	3.7607e+02
2021	288	7	3.7622e+02
2021	288	8	3.6500e+02
2021	288	8	3.6748e+02
2021	288	8	3.7476e+02
2021	288	8	3.7885e+02
2021	288	8	3.7494e+02
2021	288	9	3.6928e+02
2021	288	9	3.6191e+02
2021	288	9	3.6323e+02
2021	288	9	3.5812e+02
2021	288	10	3.5607e+02
2021	288	10	3.5722e+02
2021	288	10	3.5079e+02
2021	288	10	3.4804e+02
2021	288	10	3.5001e+02
2021	288	11	3.4689e+02
2021	288	11	3.4654e+02
2021	288	11	3.4645e+02
2021	288	11	3.4447e+02
2021	288	11	3.4461e+02
2021	288	12	3.4438e+02
2021	288	12	3.4175e+02
2021	288	12	3.4091e+02
2021	288	12	3.3813e+02
2021	288	12	3.3750e+02
2021	288	13	3.3845e+02
2021	288	13	3.3796e+02
2021	288	13	3.3843e+02
2021	288	13	3.3996e+02
2021	288	13	3.4001e+02
2021	288	14	3.3917e+02
2021	288	14	3.3985e+02
2021	288	14	3.3949e+02
2021	288	14	3.4065e+02
2021	288	14	3.4120e+02
2021	288	15	3.3884e+02
2021	288	15	3.3927e+02
2021	288	15	3.3823e+02
2021	288	15	3.3901e+02
2021	288	15	3.4124e+02
2021	288	16	3.3837e+02
2021	288	16	3.4390e+02
2021	288	16	3.4016e+02
2021	288	16	3.3951e+02
2021	288	16	3.3926e+02
2021	288	17	3.4120e+02
2021	288	17	3.4491e+02
2021	288	17	3.4383e+02
2021	288	17	3.4790e+02
2021	288	17	3.5330e+02
2021	288	18	3.4759e+02
2021	288	18	3.4125e+02
2021	288	18	3.4253e+02
2021	288	18	3.3955e+02
2021	288	18	3.3771e+02
2021	288	19	3.3539e+02
2021	288	19	3.4303e+02
2021	288	19	3.4308e+02
2021	288	19	3.4504e+02
2021	288	19	3.4597e+02
2021	288	20	3.5587e+02
2021	288	20	3.5674e+02
2021	288	20	3.5259e+02
2021	288	20	3.3470e+02
2021	288	20	3.3505e+02
2021	288	21	3.4059e+02
2021	288	21	3.3128e+02
2021	288	21	3.3251e+02
2021	288	21	3.3425e+02
2021	288	21	3.2703e+02
2021	288	22	3.3219e+02
2021	288	22	3.2767e+02
2021	288	22	3.6514e+02
2021	288	22	3.2833e+02
2021	288	22	3.2413e+02
2021	288	23	3.2220e+02
2021	288	23	3.1436e+02
2021	288	23	3.1077e+02
2021	288	23	3.0951e+02
2021	288	23	3.1246e+02
2021	289	0	3.1207e+02
2021	289	0	3.2939e+02
2021	289	0	3.4253e+02
2021	289	0	3.6255e+02
2021	289	0	3.7495e+02
2021	289	1	3.7090e+02
2021	289	1	3.7308e+02
2021	289	1	3.6833e+02
2021	289	1	3.5965e+02
2021	289	1	3.9259e+02
2021	289	2	3.7414e+02
2021	289	2	3.5433e+02
2021	289	2	3.7445e+02
2021	289	2	3.4957e+02
2021	289	3	3.5133e+02
2021	289	3	3.5140e+02
2021	289	3	3.5155e+02
2021	289	3	3.6564e+02
2021	289	3	3.6023e+02
2021	289	4	3.5766e+02
2021	289	4	3.6125e+02
2021	289	4	3.5692e+02
2021	289	4	3.5754e+02
2021	289	4	3.5634e+02
2021	289	5	3.5756e+02
2021	289	5	3.8139e+02
2021	289	5	3.7907e+02
2021	289	5	3.8143e+02
2021	289	5	3.8261e+02
2021	289	6	3.8389e+02
2021	289	6	3.8418e+02
2021	289	6	3.8588e+02
2021	289	6	3.9131e+02
2021	289	6	3.9110e+02
2021	289	7	3.8699e+02
2021	289	7	3.9120e+02
2021	289	7	3.8672e+02
2021	289	7	3.8179e+02
2021	289	7	3.7919e+02
2021	289	8	3.7918e+02
2021	289	8	3.8820e+02
2021	289	8	3.9967e+02
2021	289	8	4.0096e+02
2021	289	8	4.0408e+02
2021	289	9	4.0727e+02
2021	289	9	4.0581e+02
2021	289	9	4.0104e+02
2021	289	9	3.9971e+02
2021	289	9	3.9604e+02
2021	289	10	3.8620e+02
2021	289	10	3.8538e+02
2021	289	10	3.8995e+02
2021	289	10	3.9150e+02
2021	289	10	3.8266e+02
2021	289	11	3.9697e+02
2021	289	11	3.9012e+02
2021	289	11	3.8771e+02
2021	289	11	3.8908e+02
2021	289	11	3.9195e+02
2021	289	12	3.8841e+02
2021	289	12	3.9140e+02
2021	289	12	3.9143e+02
2021	289	12	3.9190e+02
2021	289	12	3.9041e+02
2021	289	13	3.9136e+02
2021	289	13	3.8307e+02
2021	289	13	3.7390e+02
2021	289	13	3.8046e+02
2021	289	13	3.7921e+02
2021	289	14	3.9018e+02
2021	289	14	3.8746e+02
2021	289	14	3.8263e+02
2021	289	14	3.8249e+02
2021	289	14	3.8440e+02
2021	289	15	3.8472e+02
2021	289	15	3.8775e+02
2021	289	15	3.8576e+02
2021	289	15	3.8369e+02
2021	289	15	3.8053e+02
2021	289	16	3.8149e+02
2021	289	16	3.7699e+02
2021	289	16	3.7872e+02
2021	289	16	3.7947e+02
2021	289	16	3.7711e+02
2021	289	17	3.7779e+02
2021	289	17	3.7871e+02
2021	289	17	3.7967e+02
2021	289	17	3.8100e+02
2021	289	17	3.7198e+02
2021	289	18	3.7044e+02
2021	289	18	3.7708e+02
2021	289	18	3.7905e+02
2021	289	18	3.7757e+02
2021	289	19	3.7335e+02
2021	289	19	3.7635e+02
2021	289	19	3.8056e+02
2021	289	19	3.7698e+02
2021	289	19	3.7442e+02
2021	289	20	3.7722e+02
2021	289	20	0
2021	289	20	3.7258e+02
2021	289	20	3.8148e+02
2021	289	20	0
2021	289	21	3.8021e+02
2021	289	21	3.7918e+02
2021	289	21	3.7716e+02
2021	289	21	3.7980e+02
2021	289	21	3.8157e+02
2021	289	22	3.7089e+02
2021	289	22	3.7346e+02
2021	289	22	3.7006e+02
2021	289	22	3.6377e+02
2021	289	22	3.6682e+02
2021	289	23	3.6555e+02
2021	289	23	3.7061e+02
2021	289	23	3.7493e+02
2021	289	23	3.7490e+02
2021	289	23	3.7226e+02
2021	290	0	3.7663e+02
2021	290	0	3.6602e+02
2021	290	0	3.7522e+02
2021	290	0	3.8588e+02
2021	290	0	3.7840e+02
2021	290	1	3.7782e+02
2021	290	1	3.7780e+02
2021	290	1	3.7796e+02
