ET_time(sec) 	 time(sec of day) 	 freq_residual(Hz=exp-theo) 	 exp_dopp 	 theo_dopp 
686588116.4323435	10447.25000	-2875.505799	11404.82300	14280.32880
686588116.6823435	10447.50000	-2873.228961	11407.06060	14280.28956
686588116.9323435	10447.75000	-2872.757924	11407.49240	14280.25032
686588117.1823435	10448.00000	-2873.652284	11406.55880	14280.21108
686588117.4323435	10448.25000	-2871.504645	11408.66720	14280.17185
686588117.6823435	10448.50000	-2872.733305	11407.39930	14280.13261
686588117.9323435	10448.75000	-2872.405863	11407.68750	14280.09336
686588118.1823435	10449.00000	-2873.480321	11406.57380	14280.05412
686588118.4323435	10449.25000	-2870.282678	11409.73220	14280.01488
686588118.6823435	10449.50000	-2871.357633	11408.61800	14279.97563
686588118.9323435	10449.75000	-2870.202888	11409.73350	14279.93639
686588119.1823435	10450.00000	-2868.030341	11411.86680	14279.89714
686588119.4323435	10450.25000	-2870.366895	11409.49100	14279.85789
686588119.6823435	10450.50000	-2870.710647	11409.10800	14279.81865
686588119.9323435	10450.75000	-2869.434497	11410.34490	14279.77940
686588120.1823435	10451.00000	-2871.558948	11408.18120	14279.74015
686588120.4323435	10451.25000	-2871.788197	11407.91270	14279.70090
686588120.6823435	10451.50000	-2865.966945	11413.69470	14279.66165
686588120.9323435	10451.75000	-2870.800394	11408.82200	14279.62239
686588121.1823435	10452.00000	-2869.994840	11409.58830	14279.58314
686588121.4323435	10452.25000	-2870.463785	11409.08010	14279.54388
686588121.6823435	10452.50000	-2870.880730	11408.62390	14279.50463
686588121.9323435	10452.75000	-2870.922174	11408.54320	14279.46537
686588122.1823435	10453.00000	-2868.764916	11410.66120	14279.42612
686588122.4323435	10453.25000	-2869.010258	11410.37660	14279.38686
686588122.6823435	10453.50000	-2868.293999	11411.05360	14279.34760
686588122.9323435	10453.75000	-2872.078239	11407.23010	14279.30834
686588123.1823435	10454.00000	-2868.009178	11411.25990	14279.26908
686588123.4323435	10454.25000	-2868.552016	11410.67780	14279.22982
686588123.6823435	10454.50000	-2870.144753	11409.04580	14279.19055
686588123.9323435	10454.75000	-2870.180790	11408.97050	14279.15129
686588124.1823435	10455.00000	-2869.284826	11409.82720	14279.11203
686588124.4323435	10455.25000	-2869.547060	11409.52570	14279.07276
686588124.6823435	10455.50000	-2869.482294	11409.55120	14279.03349
686588124.9323435	10455.75000	-2868.230526	11410.76370	14278.99423
686588125.1823435	10456.00000	-2869.059057	11409.89590	14278.95496
686588125.4323435	10456.25000	-2867.371589	11411.54410	14278.91569
686588125.6823435	10456.50000	-2869.248718	11409.62770	14278.87642
686588125.9323435	10456.75000	-2866.024247	11412.81290	14278.83715
686588126.1823435	10457.00000	-2866.192075	11412.60580	14278.79788
686588126.4323435	10457.25000	-2868.329402	11410.42920	14278.75860
686588126.6823435	10457.50000	-2862.951028	11415.76830	14278.71933
686588126.9323435	10457.75000	-2864.279454	11414.40060	14278.68005
686588127.1823435	10458.00000	-2866.212379	11412.42840	14278.64078
686588127.4323435	10458.25000	-2867.204601	11411.39690	14278.60150
686588127.6823435	10458.50000	-2866.422724	11412.13950	14278.56222
686588127.9323435	10458.75000	-2866.296145	11412.22680	14278.52295
686588128.1823435	10459.00000	-2865.708666	11412.77500	14278.48367
686588128.4323435	10459.25000	-2865.626086	11412.81830	14278.44439
686588128.6823435	10459.50000	-2866.186805	11412.21830	14278.40510
686588128.9323435	10459.75000	-2863.786722	11414.57910	14278.36582
686588129.1823435	10460.00000	-2865.881340	11412.44520	14278.32654
686588129.4323435	10460.25000	-2865.809556	11412.47770	14278.28726
686588129.6823435	10460.50000	-2865.308671	11412.93930	14278.24797
686588129.9323435	10460.75000	-2864.593584	11413.61510	14278.20868
686588130.1823435	10461.00000	-2865.672798	11412.49660	14278.16940
686588130.4323435	10461.25000	-2864.862611	11413.26750	14278.13011
686588130.6823435	10461.50000	-2864.984822	11413.10600	14278.09082
686588130.9323435	10461.75000	-2863.991433	11414.06010	14278.05153
686588131.1823435	10462.00000	-2862.535241	11415.47700	14278.01224
686588131.4323435	10462.25000	-2863.794750	11414.17820	14277.97295
686588131.6823435	10462.50000	-2865.961558	11411.97210	14277.93366
686588131.9323435	10462.75000	-2863.365365	11414.52900	14277.89436
686588132.1823435	10463.00000	-2863.627571	11414.22750	14277.85507
686588132.4323435	10463.25000	-2863.574975	11414.24080	14277.81578
686588132.6823435	10463.50000	-2862.278779	11415.49770	14277.77648
686588132.9323435	10463.75000	-2861.866683	11415.87050	14277.73718
686588133.1823435	10464.00000	-2861.820585	11415.87730	14277.69788
686588133.4323435	10464.25000	-2862.525286	11415.13330	14277.65859
686588133.6823435	10464.50000	-2861.755587	11415.86370	14277.61929
686588133.9323435	10464.75000	-2862.463786	11415.11620	14277.57999
686588134.1823435	10465.00000	-2864.537884	11413.00280	14277.54068
686588134.4323435	10465.25000	-2861.957781	11415.54360	14277.50138
686588134.6823435	10465.50000	-2862.333778	11415.12830	14277.46208
686588134.9323435	10465.75000	-2861.855273	11415.56750	14277.42277
686588135.1823435	10466.00000	-2865.986769	11411.39670	14277.38347
686588135.4323435	10466.25000	-2860.850162	11416.49400	14277.34416
686588135.6823435	10466.50000	-2859.131655	11418.17320	14277.30486
686588135.9323435	10466.75000	-2860.987147	11416.27840	14277.26555
686588136.1823435	10467.00000	-2860.888337	11416.33790	14277.22624
686588136.4323435	10467.25000	-2858.149028	11419.03790	14277.18693
686588136.6823435	10467.50000	-2861.775418	11415.37220	14277.14762
686588136.9323435	10467.75000	-2859.706406	11417.40190	14277.10831
686588137.1823435	10468.00000	-2859.435093	11417.63390	14277.06899
686588137.4323435	10468.25000	-2858.364879	11418.66480	14277.02968
686588137.6823435	10468.50000	-2860.068665	11416.92170	14276.99037
686588137.9323435	10468.75000	-2859.578150	11417.37290	14276.95105
686588138.1823435	10469.00000	-2859.261134	11417.65060	14276.91173
686588138.4323435	10469.25000	-2857.478616	11419.39380	14276.87242
686588138.6823435	10469.50000	-2858.639897	11418.19320	14276.83310
686588138.9323435	10469.75000	-2854.939379	11421.85440	14276.79378
686588139.1823435	10470.00000	-2859.626758	11417.12770	14276.75446
686588139.4323435	10470.25000	-2849.443937	11427.27120	14276.71514
686588139.6823435	10470.50000	-2859.781616	11416.89420	14276.67582
686588139.9323435	10470.75000	-2857.998293	11418.63820	14276.63649
686588140.1823435	10471.00000	-2857.615869	11418.98130	14276.59717
686588140.4323435	10471.25000	-2859.466746	11417.09110	14276.55785
686588140.6823435	10471.50000	-2856.910419	11419.60810	14276.51852
686588140.9323435	10471.75000	-2862.590192	11413.88900	14276.47919
686588141.1823435	10472.00000	-2857.898766	11418.54110	14276.43987
686588141.4323435	10472.25000	-2857.501037	11418.89950	14276.40054
686588141.6823435	10472.50000	-2858.011408	11418.34980	14276.36121
686588141.9323435	10472.75000	-2857.208277	11419.11360	14276.32188
686588142.1823435	10473.00000	-2856.146446	11420.13610	14276.28255
686588142.4323435	10473.25000	-2854.470714	11421.77250	14276.24321
686588142.6823435	10473.50000	-24.820982	14251.38290	14276.20388
686588142.9323435	10473.75000	-25.240947	14250.92360	14276.16455
686588143.1823435	10474.00000	-2855.019413	11421.10580	14276.12521
686588143.4323435	10474.25000	-2854.702678	11421.38320	14276.08588
686588143.6823435	10474.50000	-2857.825841	11418.22070	14276.04654
686588143.9323435	10474.75000	-2855.465703	11420.54150	14276.00720
686588144.1823435	10475.00000	-2859.870265	11416.09760	14275.96787
686588144.4323435	10475.25000	-2854.823225	11421.10530	14275.92853
686588144.6823435	10475.50000	-2854.345485	11421.54370	14275.88918
686588144.9323435	10475.75000	-2855.053544	11420.79630	14275.84984
686588145.1823435	10476.00000	-2855.882502	11419.92800	14275.81050
